,title,installs,score,ratings,reviews,size,androidVersion,developer,contentRating,containsAds,released,updated,version
38,E-Learning Platform,100000.0,0.0,,0.0,1.9M,4.0,Alexander Tarigan,Everyone,False,"Nov 10, 2019",1573405541.0,2.0
39,Edukoya - Learning App (beta),100000.0,4.428571,518.0,5.0,27M,7.0,Edukoya,Everyone,False,"Nov 30, 2021",1649867439.0,0.9.1
40,Administration course,100000.0,0.0,,0.0,8.8M,4.1,Network24,Everyone 10+,True,"Apr 9, 2017",1611690159.0,1.08
41,English Basic - ESL Course,100000.0,4.5841584,695.0,58.0,16M,4.1,MobileEnglish,Everyone,True,"Apr 13, 2017",1567088004.0,1.16
42,ReSkills,100000.0,0.0,,0.0,285M,6.0,ReSkills EdTech,Everyone,True,"Feb 6, 2021",1652201559.0,8.1.3
43,"Learn SEO, SMO, PPC and Digital Marketing course",100000.0,4.163265,2477.0,25.0,20M,5.0,WsCube Tech,Everyone,True,"Oct 26, 2016",1644902146.0,5.63
44,CBSE Class 1 App: NCERT Solutions & Book Questions,100000.0,0.0,,0.0,23M,5.0,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,False,"Aug 17, 2019",1648542854.0,3.3.9_class1
45,CBSE Class 4 App: NCERT Solutions & Book Questions,100000.0,0.0,,0.0,22M,5.0,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,False,"Aug 17, 2019",1651835870.0,3.4.6_class4
46,CBSE Class 5 App: NCERT Solutions & Book Questions,100000.0,0.0,,0.0,23M,5.0,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,False,"Jun 27, 2019",1648543428.0,3.3.9_class5
47,Online Courses + Certificate,100000.0,3.8214285,318.0,11.0,3.5M,4.0,JobboJ APP - job tools,Everyone,True,"Jan 13, 2018",1605707322.0,5.0
48,Crash Course,100000.0,4.6039605,2384.0,198.0,55M,4.4,Complexly LLC,Everyone,False,"Apr 30, 2020",1633356458.0,1.6
49,Nutrition Course,50000.0,0.0,,0.0,3.5M,4.1,Susanapp,Everyone,True,"Aug 4, 2017",1585691059.0,72.0
50,Learn Computer Course Offline Free,50000.0,4.4,191.0,3.0,20M,4.1,skappstudio,Everyone,True,"Mar 17, 2021",1629095879.0,1.4
51,Lurningo - Education App,50000.0,0.0,,0.0,128M,5.0,TeamLease EdTech Ltd.,Everyone,False,"May 31, 2016",1647242135.0,8.1.09
52,Smaterr Learning App,50000.0,3.3636363,1640.0,18.0,29M,5.0,Smaterr,Everyone,False,"May 13, 2019",1650992915.0,2.3.0
53,Converge Study Abroad,50000.0,4.3076925,1944.0,9.0,64M,6.0,Converge Edutech Private Limited,Everyone,False,"Oct 1, 2020",1647513329.0,2.15
54,Cerego,50000.0,4.23,479.0,80.0,22M,5.0,Cerego Inc.,Everyone,False,"Mar 1, 2016",1652216419.0,7.9
55,Roducate - Great Learning App,50000.0,4.111111,258.0,7.0,3.5M,5.1,Robert and John Limited,Everyone,False,"May 13, 2014",1623022798.0,3.0.7
56,ROOTs Edu,50000.0,4.116279,2047.0,23.0,163M,5.0,ROOTs IT,Everyone,False,"Aug 11, 2020",1651135196.0,2.10.15
57,Emerging Study - Learn Online,50000.0,5.0,790.0,6.0,75M,6.0,Emerging Study,Everyone,True,"Apr 27, 2021",1642676755.0,2.6.11
58,Saylor Academy,50000.0,4.5,232.0,8.0,16M,4.4,Saylor Academy,Everyone,False,"Dec 20, 2019",1599229732.0,3.9.2
59,WiseeClass,10000.0,0.0,,0.0,238M,5.0,SparkIT Techno Solutions Pvt Ltd,Everyone,False,"May 11, 2021",1649452836.0,1.1.28
60,Ghoori Learning-Online Courses,10000.0,4.25,456.0,7.0,5.2M,5.0,Dotlines,Everyone,False,"Jan 3, 2022",1647180873.0,1.3.1
61,mKiddo — Kids Learning App,10000.0,0.0,,0.0,28M,5.0,MoMagic Bangladesh Limited,Everyone,False,"Apr 20, 2020",1651294853.0,2.6.0
62,Course with certificate online,10000.0,4.25,694.0,13.0,11M,4.4,Suman Mondal,Everyone,True,"Feb 17, 2021",1640158200.0,2.2
63,TeacherTube Educational Videos,10000.0,3.7741935,71.0,17.0,1.0M,2.3.3,Salem Media Group,Everyone,True,"Jun 5, 2015",1433491582.0,1.0
64,BacBon School,10000.0,4.6,425.0,3.0,61M,5.0,BacBon Ltd.,Everyone,False,"Aug 5, 2019",1648702275.0,1.5.31
65,Richmond Learning Platform,10000.0,0.0,,0.0,40M,6.0,"Grupo Santillana Educación Global, S.L.",Everyone,False,"Nov 7, 2019",1640161248.0,34.0.5
66,ABC Academy BD,10000.0,5.0,116.0,3.0,4.7M,6.0,Real Time Solution,Everyone,False,"Jul 27, 2021",1637527753.0,2.2.1
67,Learn Smart Classroom,10000.0,0.0,,0.0,8.8M,5.1,Knowledge Platform,Everyone,False,"Jun 1, 2020",1610354024.0,1.5.2
68,Teams By Lurningo,10000.0,2.3333333,1256.0,2.0,128M,5.0,TeamLease EdTech Ltd.,Everyone,False,"Feb 20, 2020",1646399399.0,3.1.09
69,"Lectera — online education, online courses",5000.0,0.0,,0.0,6.4M,5.0,Lectera,Everyone,False,"Nov 12, 2020",1648653104.0,2.5.0
70,WinjiGo StudentKit,5000.0,0.0,,0.0,47M,4.2,ITWorx Education,Everyone,False,"Apr 27, 2017",1646737429.0,2.27.0
71,Courstube: Courses to learn,5000.0,4.714286,262.0,6.0,8.0M,5.0,Crazy Ideas,Everyone,True,"Apr 10, 2021",1650957119.0,1.0.1.4.3.9
72,Prottoy - Visual Learning App,5000.0,0.0,,0.0,55M,5.0,Prottoy Edtech,Everyone,False,"Feb 21, 2021",1647431463.0,1.1.8
73,Digital Coach - IBA DU,5000.0,4.714286,234.0,8.0,45M,5.0,Thrive EdTech,Everyone,False,"Jan 26, 2022",1652175783.0,1.24.0
74,EdTech Worx,5000.0,0.0,,0.0,22M,4.1,EdTech Worx,Everyone,False,"May 27, 2019",1593379728.0,1.0.29
75,Free Online Courses,1000.0,0.0,,0.0,6.3M,5.0,RedTECH,Everyone,True,"Feb 9, 2020",1581241364.0,1.0.0
76,Dr course (student),1000.0,0.0,,0.0,58M,6.0,Devo tech,Everyone,True,"Aug 28, 2021",1651358380.0,1.4.40
77,Edutechs,500.0,0.0,,0.0,82M,5.0,M. Ekram,Everyone,False,"Oct 21, 2020",1651858887.0,44.9
78,Bluelogic EdTech ERP,500.0,0.0,,0.0,4.7M,5.1,Bluelogic solution,Everyone,False,"Jun 6, 2020",1636527704.0,1.3.445
79,EdTech,500.0,0.0,,0.0,5.7M,6.0,DELLHOAK,Everyone,False,"May 20, 2021",1621530534.0,1.0
80,EdTech Middle East,5.0,0.0,,0.0,11M,4.2,Moftah Publishing,Everyone,True,"Dec 19, 2019",1576788351.0,2.5.1
